t_star	a	k	B	p	c	sigma_tau	r0
33	3	0.006	0.8	0.8	25	40	0.7548651314867965
33	0.5	0.006	0.8	0.8	25	25	0.7548576921633382
33	0.5	0.02	1.6	1.2	25	20	0.7547961466508398
33	3	0.006	1.6	1.2	25	40	0.7546823504490355
33	0.5	0.02	1.6	1.2	10	25	0.7546732468496351
33	0.5	0.02	0.8	1	25	20	0.7545677218522274
33	3	0.006	0.8	1	25	40	0.7545673986370204
33	3	0.006	0.8	1.2	25	40	0.7543317737573054
33	2	0.006	0.8	0.8	10	40	0.7542468711574284
33	2	0.006	1.6	0.8	25	40	0.7541447657236868
33	0.5	0.02	0.8	1.2	25	20	0.7541422025761055
33	0.5	0.004	0.8	1.2	10	25	0.7540822366551317
33	3	0.006	0	0.8	25	40	0.7539671290978929
33	3	0.006	0	1	10	40	0.7539671290978929
33	3	0.006	0	1.2	10	40	0.7539671290978929
33	3	0.006	0	0.8	10	40	0.7539671290978929
33	3	0.006	0	1	25	40	0.7539671290978929
33	3	0.006	0	1.2	25	40	0.7539671290978929
33	0.5	0.05	1.6	1	10	25	0.7539586128143653
33	2	0.004	1.6	1.2	10	40	0.7538627266785849
33	1	0.02	0.8	0.8	10	25	0.7537533027956403
33	0.5	0.006	0.8	1.2	10	25	0.7537117580278053
33	1	0.02	1.6	1.2	10	25	0.753494023
33	0.5	0.02	0	1	25	20	0.7534325244109931
33	0.5	0.02	0	0.8	10	20	0.7534325244109931
33	0.5	0.02	0	1.2	10	20	0.7534325244109931
33	0.5	0.02	0	1	10	20	0.7534325244109931
33	0.5	0.02	0	1.2	25	20	0.7534325244109931
33	0.5	0.02	0	0.8	25	20	0.7534325244109931
33	0.5	0.02	0.8	1	10	25	0.7533563559170545
33	0.5	0.004	1.6	1.2	25	25	0.7531805344065221
33	2	0.004	0.8	1	10	40	0.7530199481649406
33	0.5	0.004	0.8	1	25	25	0.753010892
33	2	0.006	1.6	1.2	10	40	0.7528775502035834
33	0.5	0.006	1.6	1.2	25	25	0.7528064611326306
33	0.5	0.006	0.8	1	25	25	0.7526354324649989
33	1	0.02	0.8	1	10	25	0.7525770685142333
33	2	0.004	1.6	1	25	40	0.7525120220584147
33	0.5	0.02	1.6	1	25	25	0.752504957
33	1	0.02	1.6	0.8	25	25	0.7524978533741666
33	2	0.004	0.8	0.8	25	40	0.7522793450535142
33	0.5	0.02	0.8	0.8	25	25	0.7521199368300437
33	2	0.006	0.8	1	10	40	0.7520331876317491
33	0.5	0.05	0.8	0.8	10	25	0.7518073852757591
33	0.5	0.004	0.8	1.2	25	25	0.7517479561944879
33	2	0.02	1.6	0.8	10	40	0.7517441877473974
33	1	0.02	1.6	1	25	25	0.7515996303911432
33	2	0.004	0.8	1.2	10	40	0.7515481872272415
33	1	0.02	0.8	1.2	10	25	0.7515250026538776
33	2	0.006	1.6	1	25	40	0.7515127734303432
33	0.5	0.006	0.8	1.2	25	25	0.7513792288709435
33	0.5	0.05	1.6	0.8	25	25	0.75128687
33	2	0.006	0.8	0.8	25	40	0.7512757285039275
33	1	0.02	0.8	0.8	25	25	0.7511966388387284
33	0.5	0.02	0.8	1.2	10	25	0.7511066278233424
33	2	0.004	1.6	1.2	25	40	0.750973151
33	2	0.004	0.8	1	25	40	0.7508644324788989
33	1	0.02	1.6	1.2	25	25	0.7507366391560016
33	2	0.006	0.8	1.2	10	40	0.750574674
33	1	0.02	0.8	1	25	25	0.7505489586909896
33	0.5	0.004	0	1.2	25	25	0.7502846103586749
33	0.5	0.004	0	1.2	10	25	0.7502846103586749
33	0.5	0.004	0	1	10	25	0.7502846103586749
33	0.5	0.004	0	0.8	10	25	0.7502846103586749
33	0.5	0.004	0	1	25	25	0.7502846103586749
33	0.5	0.004	0	0.8	25	25	0.7502846103586749
33	0.5	0.02	1.6	1.2	25	25	0.7501794379472524
33	0.5	0.05	1.6	0.8	10	20	0.7501507298944874
33	0.5	0.05	1.6	1	10	20	0.750121434
33	2	0.004	0.8	1.2	25	40	0.750076758
33	1	0.02	0.8	1.2	25	25	0.7500649826195115
33	0.5	0.05	1.6	1.2	10	25	0.7500542781245655
33	0.5	0.02	0.8	1	25	25	0.7499996972003867
33	2	0.006	1.6	1.2	25	40	0.7499944780980264
33	0.5	0.006	0	0.8	10	25	0.7499211010828458
33	0.5	0.006	0	1	25	25	0.7499211010828458
33	0.5	0.006	0	1.2	10	25	0.7499211010828458
33	0.5	0.006	0	0.8	25	25	0.7499211010828458
33	0.5	0.006	0	1	10	25	0.7499211010828458
33	0.5	0.006	0	1.2	25	25	0.7499211010828458
33	2	0.006	0.8	1	25	40	0.7498837373608879
33	1	0.02	0	1.2	25	25	0.7493565464088815
33	1	0.02	0	1.2	10	25	0.7493565464088815
33	1	0.02	0	1	25	25	0.7493565464088815
33	1	0.02	0	1	10	25	0.7493565464088815
33	1	0.02	0	0.8	10	25	0.7493565464088815
33	1	0.02	0	0.8	25	25	0.7493565464088815
33	2	0.004	0	1	25	40	0.7491683183573937
33	2	0.004	0	1.2	10	40	0.7491683183573937
33	2	0.004	0	1.2	25	40	0.7491683183573937
33	2	0.004	0	0.8	10	40	0.7491683183573937
33	2	0.004	0	1	10	40	0.7491683183573937
33	2	0.004	0	0.8	25	40	0.7491683183573937
33	2	0.006	0.8	1.2	25	40	0.7491062023667393
33	0.5	0.05	1.6	1.2	10	20	0.7488889672253447
33	0.5	0.02	0.8	1.2	25	25	0.7487885658942257
33	0.5	0.05	0.8	1	10	25	0.7487405315116578
33	0.5	0.05	0.8	0.8	10	20	0.7486292088498911
33	1	0.004	1.6	1.2	10	20	0.7483591646392695
33	2	0.006	0	1	10	40	0.7482057581144032
33	2	0.006	0	0.8	25	40	0.7482057581144032
33	2	0.006	0	1.2	25	40	0.7482057581144032
33	2	0.006	0	1	25	40	0.7482057581144032
33	2	0.006	0	1.2	10	40	0.7482057581144032
33	2	0.006	0	0.8	10	40	0.7482057581144032
33	2	0.02	1.6	1	10	40	0.7481133636915418
33	1	0.004	0.8	1.2	10	20	0.7480564792197513
33	0.5	0.05	0.8	1	10	20	0.7479317640964984
33	1	0.004	0.8	1	10	20	0.7478681399962086
33	0.5	0.05	1.6	1	25	25	0.747812639
33	1	0.004	1.6	1	10	20	0.7476923555420282
33	1	0.004	0	0.8	25	20	0.7475769766980405
33	1	0.004	0	1	25	20	0.7475769766980405
33	1	0.004	0	0.8	10	20	0.7475769766980405
33	1	0.004	0	1.2	10	20	0.7475769766980405
33	1	0.004	0	1	10	20	0.7475769766980405
33	1	0.004	0	1.2	25	20	0.7475769766980405
33	1	0.004	0.8	1.2	25	20	0.7475209274525678
33	1	0.004	1.6	1.2	25	20	0.7474332437055966
33	0.5	0.05	0.8	0.8	25	25	0.74740175
33	0.5	0.02	0	1	25	25	0.7473659498490209
33	0.5	0.02	0	1	10	25	0.7473659498490209
33	0.5	0.02	0	1.2	25	25	0.7473659498490209
33	0.5	0.02	0	0.8	10	25	0.7473659498490209
33	0.5	0.02	0	1.2	10	25	0.7473659498490209
33	0.5	0.02	0	0.8	25	25	0.7473659498490209
33	1	0.004	0.8	1	25	20	0.7472423380910815
33	0.5	0.05	0.8	1.2	10	20	0.747054266
33	1	0.004	0.8	0.8	10	20	0.7469266192842208
33	0.5	0.05	1.6	0.8	25	20	0.746848503
33	1	0.004	1.6	1	25	20	0.7467950844281793
33	1	0.006	1.6	1.2	10	20	0.7467902916540753
33	0.5	0.05	1.6	1	25	20	0.7467360655830314
33	2	0.02	0.8	0.8	10	40	0.7466946071546896
33	0.5	0.05	0.8	1.2	10	25	0.7466045795428934
33	1	0.006	0.8	1.2	10	20	0.7464867074542417
33	2	0.02	1.6	0.8	25	40	0.7464160319183358
33	1	0.004	0.8	0.8	25	20	0.7463851580379698
33	1	0.006	0.8	1	10	20	0.7463041125945272
33	0.5	0.05	0.8	0.8	25	20	0.7462538696553362
33	0.5	0.05	1.6	1.2	25	20	0.7461584505051495
33	1	0.006	1.6	1	10	20	0.74613906
33	1	0.006	0	0.8	25	20	0.7460081106216163
33	1	0.006	0	1	10	20	0.7460081106216163
33	1	0.006	0	1.2	25	20	0.7460081106216163
33	1	0.006	0	0.8	10	20	0.7460081106216163
33	1	0.006	0	1	25	20	0.7460081106216163
33	1	0.006	0	1.2	10	20	0.7460081106216163
33	1	0.006	0.8	1.2	25	20	0.7459547991935881
33	0.5	0.05	0.8	1	25	20	0.7459327445310018
33	1	0.006	1.6	1.2	25	20	0.7458703427152444
33	1	0.006	0.8	1	25	20	0.7456817322185575
33	0.5	0.05	1.6	1.2	25	25	0.745650998
33	0.5	0.05	0.8	1.2	25	20	0.7455703934644824
33	2	0.02	1.6	1.2	10	40	0.7455123954568654
33	0.5	0.05	0.8	1	25	25	0.7454590940978454
33	1	0.006	0.8	0.8	10	20	0.745381511
33	1	0.006	1.6	1	25	20	0.7452448774159188
33	1	0.004	1.6	0.8	10	20	0.7451496452400019
33	0.5	0.05	0	0.8	25	20	0.7449291865559693
33	0.5	0.05	0	1	10	20	0.7449291865559693
33	0.5	0.05	0	1	25	20	0.7449291865559693
33	0.5	0.05	0	1.2	10	20	0.7449291865559693
33	0.5	0.05	0	0.8	10	20	0.7449291865559693
33	0.5	0.05	0	1.2	25	20	0.7449291865559693
33	1	0.006	0.8	0.8	25	20	0.7448403124590967
33	1	0.004	1.6	0.8	25	20	0.744823575
33	2	0.02	0.8	1	10	40	0.7446650876016856
33	0.5	0.05	0.8	1.2	25	25	0.7443282070749203
33	2	0.02	1.6	1	25	40	0.7440757382515614
33	2	0.02	0.8	0.8	25	40	0.7438149821498724
33	1	0.006	1.6	0.8	10	20	0.7436474660238052
33	1	0.006	1.6	0.8	25	20	0.7433119042012533
33	2	0.02	0.8	1.2	10	40	0.7432945796270837
33	0.5	0.05	0	1	10	25	0.7429721744460415
33	0.5	0.05	0	1.2	25	25	0.7429721744460415
33	0.5	0.05	0	1.2	10	25	0.7429721744460415
33	0.5	0.05	0	1	25	25	0.7429721744460415
33	0.5	0.05	0	0.8	25	25	0.7429721744460415
33	0.5	0.05	0	0.8	10	25	0.7429721744460415
33	2	0.02	1.6	1.2	25	40	0.7426884535625861
33	2	0.02	0.8	1	25	40	0.742566707
33	1	0.05	1.6	0.8	10	25	0.7424346656113666
33	3	0.004	1.6	0.8	10	60	0.7423598069581836
33	3	0.02	1.6	0.8	10	40	0.7422009926560756
33	2	0.02	0.8	1.2	25	40	0.7418538219923599
33	3	0.006	1.6	0.8	10	60	0.7418066533273269
33	3	0.02	1.6	1	10	40	0.7414952555927099
33	1	0.05	1.6	1	10	25	0.741426967
33	2	0.02	0	1.2	25	40	0.741006283
33	2	0.02	0	1.2	10	40	0.741006283
33	2	0.02	0	1	25	40	0.741006283
33	2	0.02	0	0.8	10	40	0.741006283
33	2	0.02	0	1	10	40	0.741006283
33	2	0.02	0	0.8	25	40	0.741006283
33	3	0.02	0.8	0.8	10	40	0.7406565950789904
33	3	0.02	1.6	1.2	10	40	0.7406273437453531
33	3	0.02	0.8	1	10	40	0.7401191463495311
33	1	0.05	0.8	0.8	10	25	0.7400642891846996
33	1	0.05	1.6	1.2	10	25	0.7399404124538993
33	3	0.02	1.6	0.8	25	40	0.7398619273307487
33	3	0.02	0.8	1.2	10	40	0.739617976
33	3	0.02	1.6	1	25	40	0.7395297322226188
33	3	0.02	0.8	0.8	25	40	0.7392902175851456
33	2	0.004	0.8	1.2	10	25	0.7391786157904817
33	3	0.02	1.6	1.2	25	40	0.7391687048455113
33	2	0.004	1.6	1.2	10	25	0.739168215
33	2	0.004	0	1	10	25	0.7391088631249852
33	2	0.004	0	1.2	25	25	0.7391088631249852
33	2	0.004	0	1.2	10	25	0.7391088631249852
33	2	0.004	0	1	25	25	0.7391088631249852
33	2	0.004	0	0.8	10	25	0.7391088631249852
33	2	0.004	0	0.8	25	25	0.7391088631249852
33	1	0.05	0.8	1	10	25	0.7390871837301866
33	3	0.02	0.8	1	25	40	0.7390573057603977
33	2	0.004	0.8	1.2	25	25	0.7389476460519344
33	2	0.004	0.8	1	10	25	0.7388817823217864
33	3	0.02	0.8	1.2	25	40	0.7388586727450563
33	1	0.05	1.6	0.8	25	25	0.7388122638724307
33	2	0.004	1.6	1.2	25	25	0.7387731832782194
33	2	0.004	0.8	1	25	25	0.7386413107914089
33	3	0.02	0	1	10	40	0.7385356073547266
33	3	0.02	0	1	25	40	0.7385356073547266
33	3	0.02	0	0.8	10	40	0.7385356073547266
33	3	0.02	0	1.2	25	40	0.7385356073547266
33	3	0.02	0	1.2	10	40	0.7385356073547266
33	3	0.02	0	0.8	25	40	0.7385356073547266
33	2	0.004	1.6	1	10	25	0.7384479793594211
33	3	0.004	1.6	1	10	60	0.7383253845316838
33	1	0.05	0.8	1.2	10	25	0.7381680321340935
33	1	0.05	1.6	1	25	25	0.7381364530162449
33	2	0.004	1.6	1	25	25	0.7381287687277813
33	2	0.004	0.8	0.8	10	25	0.7379869135835491
33	2	0.004	0.8	0.8	25	25	0.7378449502907508
33	3	0.006	1.6	1	10	60	0.7378020178376724
33	1	0.05	0.8	0.8	25	25	0.7377482073111887
33	3	0.004	1.6	0.8	25	60	0.7375355365221754
33	1	0.05	1.6	1.2	25	25	0.7374170055428376
33	1	0.004	1.6	0.8	10	40	0.737305651
33	3	0.004	0.8	0.8	10	60	0.7372367945642785
33	1	0.05	0.8	1	25	25	0.7372350687641719
33	2	0.05	1.6	0.8	10	40	0.7372021244270035
33	1	0.006	1.6	0.8	10	40	0.7371725482764548
33	3	0.02	1.6	0.8	10	60	0.7370902327092581
33	3	0.006	1.6	0.8	25	60	0.7369792198922457
33	2	0.006	1.6	1.2	10	25	0.7369385861856457
33	2	0.006	0.8	1.2	10	25	0.7369370393780502
33	2	0.006	0	0.8	10	25	0.7368567930062909
33	2	0.006	0	1	10	25	0.7368567930062909
33	2	0.006	0	1	25	25	0.7368567930062909
33	2	0.006	0	0.8	25	25	0.7368567930062909
33	2	0.006	0	1.2	25	25	0.7368567930062909
33	2	0.006	0	1.2	10	25	0.7368567930062909
33	1	0.05	0.8	1.2	25	25	0.7368273769341888
33	1	0.02	1.6	1.2	10	20	0.7368114334588677
33	2	0.006	0.8	1.2	25	25	0.7367059543066703
33	3	0.006	0.8	0.8	10	60	0.7367053226981596
33	2	0.006	0.8	1	10	25	0.7366577613980156
33	2	0.006	1.6	1.2	25	25	0.736542223
33	1	0.02	0.8	1.2	10	20	0.7364847956090239
33	2	0.004	1.6	0.8	25	25	0.7364447599133457
33	2	0.006	0.8	1	25	25	0.7364142457922086
33	2	0.004	1.6	0.8	10	25	0.7363872485700118
33	1	0.02	0.8	1	10	20	0.7363603302127831
33	1	0.02	1.6	1	10	20	0.7363019607675384
33	2	0.006	1.6	1	10	25	0.7362564383257858
33	1	0.05	0	0.8	10	25	0.7362031867438238
33	1	0.05	0	0.8	25	25	0.7362031867438238
33	1	0.05	0	1	25	25	0.7362031867438238
33	1	0.05	0	1.2	10	25	0.7362031867438238
33	1	0.05	0	1	10	25	0.7362031867438238
33	1	0.05	0	1.2	25	25	0.7362031867438238
33	1	0.02	1.6	0.8	10	40	0.7360094013841508
33	1	0.02	0	1	10	20	0.7359950475417992
