t_star,a,k,tail_B,tail_p,sigma,r0,p
25.0,0.3,0.02,0.5,1.0,15.0,0.7631273367348804,0.014985014985014986
30.0,0.3,0.04,0.0,0.7,15.0,0.7614777202366593,0.014985014985014986
30.0,0.3,0.08,0.5,0.7,15.0,0.7695970938320038,0.014985014985014986
25.0,0.3,0.04,0.5,1.0,15.0,0.7653237265863981,0.014985014985014986
35.0,0.6,0.08,0.2,1.3,15.0,0.7753762147164556,0.014985014985014986
25.0,0.3,0.04,0.5,0.7,15.0,0.768489428963406,0.014985014985014986
30.0,0.3,0.02,0.5,0.7,15.0,0.7672762509352955,0.014985014985014986
25.0,0.3,0.04,0.2,1.3,15.0,0.7627525163356158,0.014985014985014986
30.0,0.3,0.08,0.2,1.3,15.0,0.7671807652189314,0.014985014985014986
30.0,0.3,0.02,0.5,1.0,15.0,0.7634771926600834,0.014985014985014986
25.0,0.3,0.04,0.2,1.0,15.0,0.763483153449305,0.014985014985014986
35.0,0.3,0.02,0.2,1.0,15.0,0.7646907624307205,0.014985014985014986
35.0,0.3,0.08,0.0,0.7,15.0,0.7617486730552395,0.014985014985014986
25.0,0.3,0.04,0.0,1.3,15.0,0.7621601860013661,0.014985014985014986
25.0,0.3,0.04,0.2,0.7,15.0,0.765359150611924,0.014985014985014986
30.0,0.3,0.08,0.2,1.0,15.0,0.7678580905313084,0.014985014985014986
30.0,0.3,0.02,0.5,1.3,15.0,0.7635428272770244,0.014985014985014986
30.0,1.0,0.08,0.0,0.7,15.0,0.7900304931966029,0.015984015984015984
30.0,0.6,0.08,0.5,1.0,15.0,0.7806662497413422,0.015984015984015984
30.0,0.6,0.08,0.5,0.7,15.0,0.7815972002815065,0.015984015984015984
30.0,1.0,0.04,0.2,1.0,15.0,0.7868966120701378,0.015984015984015984
30.0,0.6,0.08,0.2,1.3,25.0,0.7933645289600245,0.015984015984015984
30.0,1.0,0.02,0.2,1.0,15.0,0.780951231247755,0.015984015984015984
30.0,0.6,0.08,0.2,1.3,15.0,0.7784570908168937,0.015984015984015984
30.0,1.0,0.04,0.5,1.3,15.0,0.7870700469587297,0.015984015984015984
30.0,0.6,0.08,0.2,1.0,25.0,0.7940501261426961,0.015984015984015984
30.0,1.0,0.08,0.2,1.3,15.0,0.7901685026611579,0.015984015984015984
30.0,1.0,0.04,0.2,0.7,15.0,0.7868477186572359,0.015984015984015984
30.0,0.6,0.08,0.2,1.0,15.0,0.7791222809428011,0.015984015984015984
30.0,1.0,0.08,0.2,1.0,15.0,0.790208413406717,0.015984015984015984
30.0,0.6,0.08,0.5,1.0,25.0,0.7952640305698575,0.015984015984015984
30.0,1.0,0.04,0.2,1.3,15.0,0.7867885809540887,0.015984015984015984
30.0,0.6,0.08,0.5,1.3,15.0,0.77943761934511,0.015984015984015984
30.0,1.0,0.04,0.5,1.0,15.0,0.7871311013649348,0.015984015984015984
30.0,1.0,0.02,0.2,0.7,15.0,0.7821902011353946,0.015984015984015984
30.0,1.0,0.04,0.0,1.0,15.0,0.7861768234657561,0.015984015984015984
30.0,1.0,0.02,0.5,1.0,15.0,0.7826219255525155,0.015984015984015984
30.0,1.0,0.08,0.0,1.3,15.0,0.7900304931966029,0.015984015984015984
30.0,1.0,0.02,0.0,1.3,15.0,0.7803281975990953,0.015984015984015984
30.0,1.0,0.02,0.2,1.3,15.0,0.7805257658782369,0.015984015984015984
30.0,1.0,0.02,0.5,1.3,15.0,0.781256256343464,0.015984015984015984
30.0,1.0,0.08,0.0,1.0,15.0,0.7900304931966029,0.015984015984015984
30.0,1.0,0.04,0.0,0.7,15.0,0.7861768234657561,0.015984015984015984
30.0,1.0,0.02,0.0,0.7,15.0,0.7803281975990953,0.015984015984015984
30.0,0.6,0.08,0.5,1.3,25.0,0.794283917498797,0.015984015984015984
30.0,1.0,0.04,0.0,1.3,15.0,0.7861768234657561,0.015984015984015984
30.0,1.0,0.08,0.2,0.7,15.0,0.7910134058427764,0.015984015984015984
30.0,1.0,0.02,0.0,1.0,15.0,0.7803281975990953,0.015984015984015984
